تصنيف الشكوى,مضمون الشكوى
مشكله تمنع التخرج,انا عدد الساعات بتاعتي 97 ساعه و عايز اسجل project 1 الترم التاني علشان اقدر اسجل project 2 الترم الاول السنه اللي القادمه علشان اقدر اتخرج الترم الاول السنه القادمه
مشاكل النظام (موقع/تسجيل),فيه 6 ساعات غير محسوبين علي الموقع علي الترم الاول حيث ان مجموع عدد الساعات ٩١ بدل ٩٧
مشكله تخص المقررات,لم أحضر امتحان المواد الآتية: web programming - introduction to databases و field training 2 و مكتوبلي على الموقع f و محسوبين في ال cgpa بدل ما يتكتبلي abs أو w أو fw فيهم مع إني محضرتش إمتحان الفاينال بتاع المواد دي.
مشكله درجات ونتائج,تم حسابة cgpa بطريقة خاطئة
مشاكل النظام (موقع/تسجيل),أرغب في إبلاغكم بمشكلة تقنية في موقع الجامعة الإلكتروني، حيث لا يعمل بشكل صحيح منذ فترة. هذا التوقف يؤثر على قدرتنا كطلاب على الوصول إلى المعلومات الضرورية وإكمال الأعمال الأكاديمية. نأمل منكم حل هذه المشكلة بأسرع وقت ممكن.مع فائق الاحترام،
مشكله درجات ونتائج,سيدي موظف شؤون الطلبة،أتقدم بطلب للحصول على نتائج الاختبارات الأخيرة التي أجريتها. لم يتمكن الطلاب من الوصول إلى نتائجهم حتى الآن، وهذا يثير القلق بين الطلاب. أرجو منكم توفير المعلومات اللازمة بخصوص النتائج.
تحويل مسار,أتقدم بطلب تحويل مسار دراستي بسبب تغير اهتماماتي وتطلعاتي المهنية. أرجو منكم مساعدتي في إكمال الإجراءات اللازمة لتحويل مساري الدراسي بأسرع وقت ممكن.
اخرى,ود أن أبدي انزعاجي من مشكلة واجهتني أثناء عملية التسجيل للفصل الدراسي القادم. لقد واجهت صعوبات تقنية تعترضني عن استكمال عملية التسجيل بنجاح. أتمنى منكم المساعدة في حل هذه المشكلة وتسهيل عملية التسجيل.
مشكله تخص المقررات,أود أن أعرب عن استيائي بشأن مشكلة تنسيق المقررات في جدولي الدراسي. تسبب هذا الخطأ في تداخل الحصص وصعوبة التنسيق بين المواد. أرجو منكم اتخاذ الإجراءات اللازمة لحل هذه المشكلة بأسرع وقت ممكن
مشكله تخص المقررات,توجه إليكم بخصوص مشكلة تواجهني في أحد المقررات التي أدرسها. لاحظت بعض الاختلالات في طريقة تنفيذ المقرر وأرغب في استفسار حول الإجراءات التي يمكن اتخاذها لحل هذه المشكلة.
مشكله تخص المقررات,ود أن أعرب عن استيائي بشأن مشكلة تنسيق المقررات في جدولي الدراسي. تسبب هذا الخطأ في تداخل الحصص وصعوبة التنسيق بين المواد. أرجو منكم اتخاذ الإجراءات اللازمة لحل هذه المشكلة بأسرع وقت ممكن.
مشاكل النظام (موقع/تسجيل),ود أن أبدي انزعاجي من مشكلة واجهتني أثناء عملية التسجيل للفصل الدراسي القادم. لقد واجهت صعوبات تقنية تعترضني عن استكمال عملية التسجيل بنجاح. أتمنى منكم المساعدة في حل هذه المشكلة وتسهيل عملية التسجيل.
تحويل مسار,أتقدم بطلب تحويل مسار دراستي بسبب تغير اهتماماتي وتطلعاتي المهنية. أرجو منكم مساعدتي في إكمال الإجراءات اللازمة لتحويل مساري الدراسي بأسرع وقت ممكن.
مشكله درجات ونتائج,أتقدم بطلب للحصول على نتائج الاختبارات الأخيرة التي أجريتها. لم يتمكن الطلاب من الوصول إلى نتائجهم حتى الآن، وهذا يثير القلق بين الطلاب. أرجو منكم توفير المعلومات اللازمة بخصوص النتائج.
مشاكل النظام (موقع/تسجيل),أرغب في إبلاغكم بمشكلة تقنية في موقع الجامعة الإلكتروني، حيث لا يعمل بشكل صحيح منذ فترة. هذا التوقف يؤثر على قدرتنا كطلاب على الوصول إلى المعلومات الضرورية وإكمال الأعمال الأكاديمية. نأمل منكم حل هذه المشكلة بأسرع وقت ممكن.
حذف و اضافه,أتقدم بطلب لإضافة مقرر دراسي إلى جدولي الدراسي وحذف مقرر آخر بسبب ظروف شخصية. أتمنى منكم توجيهي في الخطوات اللازمة لاتمام هذه العملية.
اخرى,أتوجه إليكم بخصوص مشكلة تواجهني في أحد المقررات التي أدرسها. لاحظت بعض الاختلالات في طريقة تنفيذ المقرر وأرغب في استفسار حول الإجراءات التي يمكن اتخاذها لحل هذه المشكلة.
اخرى,أود أن أعرب عن استيائي بشأن مشكلة تنسيق المقررات في جدولي الدراسي. تسبب هذا الخطأ في تداخل الحصص وصعوبة التنسيق بين المواد. أرجو منكم اتخاذ الإجراءات اللازمة لحل هذه المشكلة بأسرع وقت ممكن.
مشاكل النظام (موقع/تسجيل),أود أن أبدي انزعاجي من مشكلة واجهتني أثناء عملية التسجيل للفصل الدراسي القادم. لقد واجهت صعوبات تقنية تعترضني عن استكمال عملية التسجيل بنجاح. أتمنى منكم المساعدة في حل هذه المشكلة وتسهيل عملية التسجيل.
تحويل مسار,أتقدم بطلب تحويل مسار دراستي بسبب تغير اهتماماتي وتطلعاتي المهنية. أرجو منكم مساعدتي في إكمال الإجراءات اللازمة لتحويل مساري الدراسي بأسرع وقت ممكن.
مشكله درجات ونتائج,أتقدم بطلب للحصول على نتائج الاختبارات الأخيرة التي أجريتها. لم يتمكن الطلاب من الوصول إلى نتائجهم حتى الآن، وهذا يثير القلق بين الطلاب. أرجو منكم توفير المعلومات اللازمة بخصوص النتائج.
مشاكل النظام (موقع/تسجيل),رغب في إبلاغكم بمشكلة تقنية في موقع الجامعة الإلكتروني، حيث لا يعمل بشكل صحيح منذ فترة. هذا التوقف يؤثر على قدرتنا كطلاب على الوصول إلى المعلومات الضرورية وإكمال الأعمال الأكاديمية. نأمل منكم حل هذه المشكلة بأسرع وقت ممكن.
حذف و اضافه,أتقدم بطلب لإضافة مقرر دراسي إلى جدولي الدراسي وحذف مقرر آخر بسبب ظروف شخصية. أتمنى منكم توجيهي في الخطوات اللازمة لاتمام هذه العملية.
اخرى,أتوجه إليكم بخصوص مشكلة تواجهني في أحد المقررات التي أدرسها. لاحظت بعض الاختلالات في طريقة تنفيذ المقرر وأرغب في استفسار حول الإجراءات التي يمكن اتخاذها لحل هذه المشكلة.
مشكله تخص المقررات,أود أن أعرب عن استيائي بشأن مشكلة تنسيق المقررات في جدولي الدراسي. تسبب هذا الخطأ في تداخل الحصص وصعوبة التنسيق بين المواد. أرجو منكم اتخاذ الإجراءات اللازمة لحل هذه المشكلة بأسرع وقت ممكن.
مشاكل النظام (موقع/تسجيل),أود أن أبدي انزعاجي من مشكلة واجهتني أثناء عملية التسجيل للفصل الدراسي القادم. لقد واجهت صعوبات تقنية تعترضني عن استكمال عملية التسجيل بنجاح. أتمنى منكم المساعدة في حل هذه المشكلة وتسهيل عملية التسجيل.
تحويل مسار,تقدم بطلب تحويل مسار دراستي بسبب تغير اهتماماتي وتطلعاتي المهنية. أرجو منكم مساعدتي في إكمال الإجراءات اللازمة لتحويل مساري الدراسي بأسرع وقت ممكن.
مشكله درجات ونتائج,أتقدم بطلب للحصول على نتائج الاختبارات الأخيرة التي أجريتها. لم يتمكن الطلاب من الوصول إلى نتائجهم حتى الآن، وهذا يثير القلق بين الطلاب. أرجو منكم توفير المعلومات اللازمة بخصوص النتائج.
مشاكل النظام (موقع/تسجيل),أرغب في إبلاغكم بمشكلة تقنية في موقع الجامعة الإلكتروني، حيث لا يعمل بشكل صحيح منذ فترة. هذا التوقف يؤثر على قدرتنا كطلاب على الوصول إلى المعلومات الضرورية وإكمال الأعمال الأكاديمية. نأمل منكم حل هذه المشكلة بأسرع وقت ممكن.
حذف و اضافه,أتقدم بطلب لإضافة مقرر دراسي إلى جدولي الدراسي وحذف مقرر آخر بسبب ظروف شخصية. أتمنى منكم توجيهي في الخطوات اللازمة لاتمام هذه العملية.
حذف و اضافه,سحب ماده simulation على الموقع والحرمان من دخول الامتحان بالرغم من انى لم أغب فى السكشن سوى مره واحده
مشكله تخص المقررات,ماده ال data science انسحبت وانا مغبتش غير مرتين فى السكشن بس ومحسوبلى ٤ مرات غياب
مشاكل النظام (موقع/تسجيل),ترم كرونا كنت منسحب منه ومحسوبلى على الموقع F انى راسب
تحويل مسار,قم بتقديم طلب تحويل من تراك data science إلى تراك خاص cyber security ولم ينفذ
تحويل مسار,طلب تحويل من القسم الخاص Business intelligence إلى (القسم العام ) data science
طلاب وافدين,انا مغترب من السودان قمت بدفع رسوم الكليه بالدولار  وقدرها 1000دولار ولم يتم احتساب انى قمت بدفع المصاريف
مشاكل النظام (موقع/تسجيل),لم تنزل نتيجه التدريب على الموقع بالرغم من نزولها لجميع الطلاب
مشاكل النظام (موقع/تسجيل),لم تظهر نتيجه التدريب الخارجى على موقع بن الهيثم
مشكله درجات ونتائج,حجب نتيجة الترم بالرغم من دفع مصاريف الكلية
مشاكل النظام (موقع/تسجيل),عدم القدره على فتح الايميل الخاص بيا على موقع الكلية
مشاكل النظام (موقع/تسجيل),تم حظرى على موقع الكلية وعدم القدره على تسجيل الدخول إلى الموقع
اعتذار عن فصل / عام دراسي,طلب انسحاب من الترم الدراسى 2024/2025
اعتذار عن فصل / عام دراسي,قمت بالانسحاب من الترم الدراسى الثانى 2022/2021 واحتسب لى راسب مما جعلنى  هاف لود  ١.٨٩ CGPA ولم استطع تسجيل المواد الدراسيه كامله بسبب شروط الكليه ال تلزمنى بتسجيل ١٢ ساعه فقط بدل من ١٩ ساعه فى الوضع الطبيعي
مشاكل النظام (موقع/تسجيل),حساب ال CGPA على موقع بطريقه خاطئه حيث محسوب 6.533 وهذا غير منطقى مع العلم أن المعد التراكمي الكامل من 4
مشاكل النظام (موقع/تسجيل),ال CGPA محسوب غلط على الموقع محسوب انى 5.352 والمفروض ال CGPA آخره 4
مشكله درجات ونتائج,اختفاء نتيجه ماده ال critical thinking من على الموقع ومكتوبلى N/A بالرغم انها كانت موجودة قبل كدا
اخرى,طلب رفع درجة ماده  Advanced date basis من 75الى 76 حتى يزيد التقدير من B- إلى B ومع العلم بموافقة الدكتور على ذالك
مشاكل النظام (موقع/تسجيل),حذف ماده stream processing من على الموقع تلقائياً بالرغم من تسجيلها مع باقى المواد
مشاكل النظام (موقع/تسجيل),عدم القدره على تسجيل مشروع التخرج project 1 على الموقع مع العلم بقرب انتهاء الترم الدراسى
اخرى,اخرى
تنسيق,قدم طلب الالتحاق بكليه الحاسبات وعلوم البيانات وجموعى فى الثانوية العامه 93.6  ما يعادل383.5وتم رفض طلب مع العلم أن الكلية تقبل من مجموع 90 ٪
اخرى,تغير موعد سكشن ماده Convex يوم الاثنين الفتره الثالثه الساعه ١٢.٥ إلى اى معاد اخر لانه يتعارض مع محاضره دكتور ماجده ماده data science methodology
اخرى,عاوز انتقل من سكشن بشمهندس ريم فتره ١ الساعه8.5الى سكشن بشمهندس محمود عادل فتره 3 حتى اتمكنت من تسجيل Regression  بسبب حدوث تعارض وعدم القدره على التسجيل فى سكشن بشمهندس محمود عادل بسسب اكتمال العدد
حذف و اضافه,حذف ماده Convex وتسجيل بدل منها ماده simulation
حذف و اضافه,طلب حذف ماده leanir algorithm من تسجيل المواد
تحديث بيانات,تحديث 
تحديث بيانات,تحديث بيانات
مشكله تمنع التخرج,لقد قمت باءنهاء مواد الكلية المقررة والاختياريه وإكمال 140 ساعه رغم ذالك يظهر لى انى لم اكمل ساعات الكليه المطلوبه بسبب عدم احتساب ماده critical thinking وهى ب ساعتين مما يمنعنى من التخرج
طلاب وافدين,انا طالب وافد من الامارات وقمت بالتحويل من جامعة الملك فهد إلى كلية الحاسبات وعلوم البيانات جامعة الإسكندرية واريد التقديم فى القسم العام وتم رفض طلب تقديمى والزامى بالدخول فى أحد الأقسام الخاصة فى السنه الدراسيه الاولى وارغب فى الانتقال إلى القسم العام
تحديث بيانات,أسمى ( عبدالرحمن سعيد محمد محمد محمد) اريد تغير اسمى موقع بن الهيثم حيث مكتوب بطريقة خاطئة وجعل (محمدمحمد محمد) اسم مركب وهو خطأ فى الموقع
تحديث بيانات,طلب تحويل أسمى باللغة الإنجليزية على موقع الكلية
اعتذار عن فصل / عام دراسي,اريد الانسحاب من العامل الدراسى ٢٠٢٢/٢٠٢٣ لظروف صحيه مرفقه مع الشكوى
تحويل مسار,المشكله هى طلب تحويل مسار من القسم العام إلى قسم الخاص Ai (Artificial intelligence)
اعتذار عن فصل / عام دراسي,"ارجو حذف جميع مقررات فصل ربيع ٢٠٢٢ وهى مقررات calculus, leanir Algeria ,computer network , potability 1 , حقوق الإنسان"
مشكله تخص المقررات,ارجو استعاده ساعات ماده simulation  وحسبها على الموقع
اخرى,تغير موعد سكشن ماده Advanced date basis
شؤون خريجين,تقديم طلب الحصول على أفاده تخرج
حذف و اضافه,لقد انسحبت من ماده Algorithm ولا تزال على موقع الكلية
شؤون خريجين, اريد طلب أفاده من الكليه من أجل الالتحاق بالجيش والكليه ترفض
شؤون خريجين,قدمت طلب الحصول على شهاده تخرج ولا رد حتى الآن
شؤون خريجين,طلب استخراج شهاده الكلية الانجليزيه منذ شهر ولم تستخرج حتى الان
مشكله امتحانات,امتحنت امتحان الميد فى ماده matho وقد تم عقد اعاده للامتحان بدون معرفتى ولم امتحن الامتحان الثانى مع العلم اني امتحنت الاصحاب الاساسي الموجود في جدول الامتحانات
مشكله تمنع التخرج,انا كنت مسجل عدد ساعات ١١ ساعه وتقدمت بشكوى لزيادة عدد الساعات ١٨ حيث اننى بالمستوى الرابع ( ترم تخرج) ومتبقى لى عدد الساعات ١٨ فقط
مشاكل النظام (موقع/تسجيل),"تم تحديد مكان اللجنة على ابن الهيثم "" طرقة معامل رابع "" و عند الامتحان اسمى مكنش موجود وكملت الإمتحان ومضيت إقرار و أثناء فترة الامتحانات تغير المكان ل طرقة معامل ثالث "" وعند إصدار درجات الميد تيرم أتحسبت غياب"
مشكله مصاريف,سجلت ماده Advanced Calculus الصيف الماضى ولم أحضر ، فسحبت ولكن على موقع المصروفات يوجد ٩٠٠ جنيها زيادة على مصاريف التيرم ٣١٠٠
مشكله امتحانات,اتممت امتحان مادة Calculus فى لجنة غير التي كنت ينبغى اتمام بها ومضيت اقرار بذلك ولم يتم تسجيل درجتى حتى الآن ومن المرجح ان ورقة الامتحان لم يتم تصحيحها من الأساس
حذف و اضافه,حذف ماده ال Calculus
مشاكل النظام (موقع/تسجيل),"يوجد لدى مشكلة في تسجيل سكشن مادة , system Analysis على موقع بن الهيثم رغم تسجيلي للمحاضرة والمادة"
مشكله تخص المقررات,"١-  ليس عندي في الجدول section probability

 ٢- لم امتحن امتحان الـ critical thinking عشان الموقع مدخلنيش"
مشاكل النظام (موقع/تسجيل),عدم تسجيل السكاشن في الجدول الدراسي
مشكله مصاريف,السلام عليكم أنا سجلت مادتين فى الترم الصيفى ولكن بسبب مشاكل مالية لم أحضر المادتين لتوفير النفاقات ، ولكن تم أضافة ٠١٨٠ زيادة على المصاريف مع العلم أن المادة مسحوبة من على ابن الهيم برجاء حذف المادة وتعديل المصروفات من ٤٨١٥ إلى ٣٩١٥
مشاكل النظام (موقع/تسجيل), ابن الهيثم
مشاكل النظام (موقع/تسجيل),السكاشن مش متسجله على ابن الهيثم
مشكله مصاريف,لقد قمت بتسجيل المقررات الوارد ذكرها في التيرم الصيفى ثم قمت بحذفهم وبالفعل تم حذفهم من نظام ابن الهيثم ولكن ما زالت مصروفاتهم موجودة بالمديونية
مشكله امتحانات,امتحتنت امتحان يمتحن امتحانات 
مشكله درجات ونتائج,"درجه f,  F fw,FW"
مشكله امتحانات,امتحنت امتحان الميد فى ماده math 0  وقد تم عقد اعاده للامتحان بدون معرفتى ولم امتحن الامتحان الثاني مع العلم انى امتحنت الامتحات الاساسي الموجود في جدول الامتحانات
مشكله درجات ونتائج,فنرجو تحويل المارة إلى ABS بدلا من fr
مشكله امتحانات,انه قد حصل بعض الظروف ولم أستطع الدخول إلى امتحان الفاينال للمادة وقد تم احتساب المادة كساقط وليس غائب وقد تم التأثير على الجى بى اى فنرجو تحويل المارة إلى ABS بدلا من fr
مشاكل النظام (موقع/تسجيل),موقع الكليه 
مشاكل النظام (موقع/تسجيل),ابن الهيثم
مشاكل النظام (موقع/تسجيل),ـ email الجامعي
مشاكل النظام (موقع/تسجيل), ليس عندی فصل probability فى الجدول  تم ضياع من الـ email الجامعي
مشكله درجات ونتائج,معدل التراكمى
مشكله درجات ونتائج,درجات درجه مواد
مشكله درجات ونتائج,}CGBA cgba
مشكله درجات ونتائج,GPAو grade gba
مشكله درجات ونتائج,لم يتم تغير ال GPA بعد ظهور نتيجة Field training في الفصل الصيفي على موقع ابن الهيثم
مشكله مصاريف,مبلغ مالى
مشكله مصاريف,مديونيه
مشكله مصاريف,جنيها و جنيه
مشكله مصاريف,تم خصم مبلغ ٩٠٠ جنيه من حساب الفيزا من كورس السمر لمادة advanced Calculus مع العلم أنه تم سحب المادة بورقة رسمية بـ ولم توجد فى ابن الهيثم بعد السحب ومرفق ورقة رسمية من الكلية بأن المادة لم يتم أخذها سمر تم دفع مصروفات السنة + 900 جنية
مشكله مصاريف,مديونية قدرها ١٩٥٠٠ جنية بسبب عدم الحصول على موافقة خصم الأوائل ( 75%) فى الترم الثالث و تطبيق خصم خاطئ فى الترم الخامس (٧٠) وعدد من الغرامات بسبب عدم دفع المديونية
مشكله تخص المقررات,مقرر 
مشكله تخص المقررات,ماده  
مشكله تخص المقررات,عدم اضافه ماده التدريب الخارجى حيث اننى قمت بدفع المصاريف و حضورى للتدريب و اتمامى الامتحان النهائى الخاص بالتدريب
حذف و اضافه,حذف
حذف و اضافه,اضافه
حذف و اضافه,طلب
حذف و اضافه,قمت بطللب حذف ماده الجورزم و اضافه ماده التفاضل و لم تظهر لى نتيجه ماده التفاضل حتى الان و الدكتور قالى انى مش مسجلها
مشكله درجات ونتائج,خلصت 4 مواد من متطلبات الكليه الاختياريه حيث ان الcgpa حسابه غلط لانه حاسبلى ماده الmobil وانا كدا المفروض اخت واحده اعلى منها
مشاكل النظام (موقع/تسجيل),تسجيلى للمواد فى الصيف عدد 3 مواد و تم حذف ماده من التسجيل وعشان اسجلها تانى لازم اعمل طلب اضافه بى فلوس
فتح مقررات,سقوطى فى مواد الرياضه اكثر من مره لاننى دبلومه امريكيه و لم يتوفر لى اضافه ماده الماث 0  لابل
مشكله درجات ونتائج,تم تسجيل درجات اعمال السنه من قبل المعيد بالخطا و انتظرت اعاده التصحيح و لم تظهر النتيجه التعديل حتى الان و نتيجه الفاينل ظهرت
مشاكل النظام (موقع/تسجيل),عدم امكانيتى بتسجيل سكشن البروبابيلتى بسبب محاضره النتورك ولم يتم اضافه معاد اخر للسيكشن
مشكله تمنع التخرج,تخرج
مشكله تمنع التخرج,سنه تخرج ترم تخرج
مشكله تمنع التخرج,اخر سنه اخر ترم
مشكله تمنع التخرج,خريج يتخرج
مشكله تمنع التخرج,لا يمكننى معرفه تسجيل سكشن الريجريشن بسبب عدم تواجد معاد اخر ليه بسبب تواجد محاضره داتا كومبيتيشن وعدم معرفتى بحذف اى ماده فيهم بسبب ترم التخرج
استرجاع مقررات,سحب 
استرجاع مقررات,سحب  ماده softwear engenering رغم غيابى مرتين فقط
مشكله درجات ونتائج,لم تظهر درجه التدريب وانا حاضر و مسجل اسمى فى الحضور
مشكله درجات ونتائج,يسقط سقوط
مشكله درجات ونتائج,تظلم
مشكله درجات ونتائج,تم قبول تظلمى فى ماده اوبريتنج سيستيم و لم يتم تعديل الدرجه على الموقع و ال cgpa
مشكله درجات ونتائج,احتساب سقوطى عدد مرتين فى ماده الريجريشن وذلك يؤثر على ال cgpa
مشكله تمنع التخرج,برجاء تسجيلى لماده الموبايل مع القسم الخاص لعدم فتحها لى مع القسم العام و انا اخر ترم (ترم تخرج)
مشاكل النظام (موقع/تسجيل),لم يتم اضافه عدد الساعات الخاصه بى الترم الاول 2022/2023 المفروض 54 ساعه بدل 36 ساعه عدد كلى للساعات على الموقع
مشكله درجات ونتائج,يحسب درجه
مشكله درجات ونتائج,لم تحتسب درجه التدريب فى الصيف حتى الان
فتح مقررات,فتح ماده 
فتح مقررات,فتح معاد اخر لى محاضره السوفت وير بسبب تواجد معاد محاضره النتورك
فتح مقررات,فتح  
فتح مقررات,فتح معاد اخر لى محاضره السوفت وير بسبب تواجد معاد محاضره النتورك
استرجاع مقررات,أسمى نزل فى كشف سحب مواد رغم أن دكتور احمد طائل أكد أنى كنت بحضر وقالى لازم ابلغ الشؤون أنهم يشيلوا أسمى من الماده ويوجد عذر طبى وارجوا عدم سحب ماده ٣١/١٠ - ٧/١١ ليوم ٣/١٠كان اول يوم فى الدراسه يوم ٢٨/١١ اجازه مرضى  دكتور احمد طايل أكد أنى كنت  حاضر
مشكله امتحانات,"اتشرف انا خالد حلمى عبد الحفيظ فراج طالب جامعى بالمستوى الثانى بكلية الحاسبات وعلوم البيانات بتقديم لمعاليكم ذالك الالتماس بخصوص عدم تمكن من حضور بعض المحاضرات والسكاشن لبعض المواد وبيانتها كالتالى :-
Ai , Data science methodology, numerical 
وذالك لتعرضى لحادث اليم بمحافظة الإسماعيلية مما كان له آثار صحيه ونفسية شديدة الصعوبة والتى على إثرها لم اتمكن من حضور تلك المحاضرات والسكاشن للمادة السالف الإشارة إليها والتى على إثرها تم سحب تلك المواد وعدم تمكن من دخول الامتحانات النهائيه لها ونعود نشير على الآثار الصحية لذالك الحادث وضرورة اجراء عمليه فى العين والجارى الاستعداد لها ومرفق بذالك الالتماس التقرير الطبى المؤيد لتلك الأقوال فبرجاء موافقه م عليكم على قبول ذالك العذر واتخاذ اللازم لعدم سحب المواد المشار إليها وتمكينى من أداء الامتحانات النهائيه لتلك المواد"
مشكله امتحانات,incomplite
مشكله امتحانات,برجاء التفضل من سيادتكم اعاده المواد والامتحان incomplite
استرجاع مقررات,"نتيجه الغياب المرضى تم سحب المواد linear algebra, programming, introduction to computer system  حضر الميد ترم"
حذف و اضافه,اعاده تسجيل ماده convex مره اخرى
استرجاع مقررات,تم سحب الماده convex optimization  وانا كنت فى بطولة الجامعة وتم غلق الموقع ولا استطيع إعادة تسجيلها
استرجاع مقررات,أنه قد تم سحب الماده اجبارى لى قبل الامتحان بثلاثه ايام وتمنى قد غبت فى عدد من المحاضرات نظرا لاننى كنت مرضيا جدا ولم استطع الحضور فى تلك الأيام وايضا لاننى اسكن بعيدا عن الكلية فلن استطع الحضور وارجوا أن يتم إرجاع الماده لى
مشكله تمنع التخرج,"طلب اضافه ماده project 1 للطالبه نوران مجدى سلامه للأسباب التالية 
١- لعدم وجود دفعه تخرج فى العام الجامعي ٢٠٢٣/٢٠٢٤ 
٢- زياده عدد الساعات المسجله إلى ١٥ ساعه"
مشكله درجات ونتائج,لم تحتسب درجات الميد ترم وأخذت الامتحان بعد رجوعى من مؤتمر المناخ ولم تظهر الدرجة+ الدرجة كامله فى الامتحان العملى اخذت اسئله زياده ك بونص بسبب مرتين الغياب السكشن تعويضاً للمؤتمر + 7من 9 فى الكويز + مقفل درجات السكشن
مشكله درجات ونتائج,f F D d A A- B B+ B- 
مشكله درجات ونتائج,half load 
مشكله درجات ونتائج,FW fw C c C- C+ 
مشكله درجات ونتائج,قمت بتحسين المقررين ورسبت فيهم مع العلم بنجاحى فيهما مسبقاً وهذا الرسوب سيؤدى إلى الهبوط فى المعدل التراكمي ووضعى فى ال half load  لذالك اريد تعديل درجة المقررين probability و ال programming من F إلى D واختيار الدرجة الاعلى
مشكله تخص المقررات,"تم تسجيلى غياب فى مقرر ال calculas المحاضره وسبب الغياب هو السفر خارج الدوله وذهبت الى السعودية لأنهاء اقامتى وإكمال إجراءات الخروج النهائي 
واريد إلغاء الغياب"
مشكله امتحانات,"تم تقديم شكوى مرفق بها شهاده مرضيه من مستشفى خاص ورفضت وتم التوثيق حاليا من مستشفى الطلبه العام الوحدة العلاجية 
واريد أعاده الامتحان فى ماده AI - probability - calculus"
مشكله امتحانات,أعاده الامتحان فى ماده AI - probability - calculus مرفق شهاده معتمده من الوحده العلاجية
استرجاع مقررات,غياب
استرجاع مقررات,يرجى إلغاء غياب يوم ٢٠٢٢/١٢/٣ حيث اننى كنت اعاني من نزله معاويه من اليوم ومرفق مع الطلب شهادة مرضيه تثبت اصابتى ،نرجوا إلغاء ما ترتب على غياب هذا اليوم ( سحب ماده social network) . برجاء إعادة امتحان هذه الماده incomplete
حذف و اضافه,تم طلب اضافه ماده computer network ولم يكن تم اضافه ماده اخرى وهى Distributied processing  وانا لم اطلبها
